Reference,Quantity,Identifier,Package,Value,Tolerance,Voltage,Current,Power,PN
"C1;C2;C3;C4;C5;C7;C8;C9;C10;C11;C13;C14;C15;C16;C17;C19;C20;C21;C22;C23;C25;C26;C27;C28;C29;C31;C32;C33;C34;C35;C37;C38;C39;C40;C41;C43;C44;C45;C46;C47;C24;C30;C36;C42;C48;C50;C51;C52;C53;C54;C55;C56;C57;C49","54","","","100nF","","","","",""
"U1;U2;U3;U4;U5;U6;U7;U8;U9;U10;U11;U12;U13;U14;U15;U16;U17;U18;U19;U20;U21;U22;U23;U24;U25;U26;U27;U28;U29;U30;U31;U32;U33;U34;U35;U36;U37;U38;U39;U40;U41;U42;U43;U44;U45;U46;U47;U48;U52;U53;U54;U55;U56;U57;U59;U60;U61;U62;U63;U64;U65;U66;U58","63","","","RGB_ws2812_3535","","","","",""
"MK1","1","","","VCC","","","","",""
"MK4","1","","","PWM_1","","","","",""
"MK2","1","","","OC1A","","","","",""
"MK3;MK5","2","","","GND","","","","",""
"MK6","1","","","VCC_OPT","","","","",""
"J1","1","","","Conn_01x02_Male","","","","",""
"R1","1","","","10KΩ NTC","","","","",""
"D3;D2;D1","3","","","LED_oslon_ssl80","","","","",""
